timestamp,name,value
0,catalogue##catalogue_restart,0.0
0,frontend##frontend_restart,0.0
0,orders##orders_restart,0.0
0,frontend##frontend_cpu,1.649897949119376e-07
0,orders##orders_cpu,2.3374600237363459e-07
0,catalogue##catalogue_cpu,1.4268624658657265e-07
0,frontend##frontend_qps,1.0221255884593532e-06
0,orders##orders_qps,7.207208004431992e-07
0,catalogue##catalogue_qps,6.478148741117461e-07
0,frontend##frontend_error_rate,8.010524691231772e-09
0,orders##orders_error_rate,2.1849242035426554e-09
0,catalogue##catalogue_error_rate,5.2383949491953754e-09
0,frontend##frontend_network_in,2.55205613084888e-07
0,orders##orders_network_in,1.664884978893386e-07
0,catalogue##catalogue_network_in,1.109253974164196e-07
0,frontend##frontend_response_time,6.239205666943694e-12
0,orders##orders_response_time,9.384613475679288e-11
0,catalogue##catalogue_response_time,0.0
0,frontend##frontend_memory_bytes,0.3782673472498285
0,catalogue##catalogue_restart,0.0
0,frontend##frontend_restart,0.0
0,orders##orders_restart,0.0
0,frontend##frontend_cpu,1.549717356019064e-07
0,orders##orders_cpu,2.3602500885541346e-07
0,catalogue##catalogue_cpu,2.0652236532964453e-07
0,frontend##frontend_qps,1.2745904277314544e-06
0,orders##orders_qps,1.2506142726139943e-06
0,catalogue##catalogue_qps,8.293068268926391e-07
0,frontend##frontend_error_rate,3.095271955188008e-09
0,orders##orders_error_rate,4.25070841306981e-09
0,catalogue##catalogue_error_rate,1.2256805696759666e-09
0,frontend##frontend_network_in,2.2963744000866625e-07
0,orders##orders_network_in,2.3158123218673258e-07
0,catalogue##catalogue_network_in,1.0750989980168246e-07
0,frontend##frontend_response_time,5.61514437233047e-10
0,orders##orders_response_time,2.496311144664032e-11
0,catalogue##catalogue_response_time,0.0
0,frontend##frontend_memory_bytes,1.0
0,catalogue##catalogue_restart,0.0
0,frontend##frontend_restart,0.0
0,orders##orders_restart,0.0
0,frontend##frontend_cpu,1.0200315435581405e-07
0,orders##orders_cpu,1.6266183974385865e-07
0,catalogue##catalogue_cpu,2.5125976700609624e-07
0,frontend##frontend_qps,1.6511654762501404e-06
0,orders##orders_qps,1.1148909756387523e-06
0,catalogue##catalogue_qps,7.169605299103297e-07
0,frontend##frontend_error_rate,4.13950019677411e-09
0,orders##orders_error_rate,6.323516710479981e-09
0,catalogue##catalogue_error_rate,7.638716728623873e-09
0,frontend##frontend_network_in,3.053718556388871e-07
0,orders##orders_network_in,5.576694812764396e-08
0,catalogue##catalogue_network_in,4.6386687176702726e-08
0,frontend##frontend_response_time,8.623292385206731e-10
0,orders##orders_response_time,9.232444802578512e-12
0,catalogue##catalogue_response_time,0.0
0,frontend##frontend_memory_bytes,0.2948626276683622
0,catalogue##catalogue_restart,0.0
0,frontend##frontend_restart,0.0
0,orders##orders_restart,0.0
0,frontend##frontend_cpu,2.188135664272375e-07
0,orders##orders_cpu,1.45567581210991e-07
0,catalogue##catalogue_cpu,1.301062367822943e-07
